,date,state,positiveIncrease,totalTestResultsIncrease,pos_inc_sum,tot_inc_sum,Positivity Rate (7-day MA),Positivity Rate (1-day)
0,2020-03-04,CA,0,0,,,,
1,2020-03-05,CA,0,0,,,,
2,2020-03-06,CA,7,7,,,,100.0
3,2020-03-07,CA,9,9,,,,100.0
4,2020-03-08,CA,19,19,,,,100.0
5,2020-03-09,CA,26,254,,,,10.24
6,2020-03-10,CA,19,19,80.0,308.0,25.97,100.0
7,2020-03-11,CA,24,250,104.0,558.0,18.64,9.6
8,2020-03-12,CA,45,45,149.0,603.0,24.71,100.0
9,2020-03-13,CA,0,0,142.0,596.0,23.83,
10,2020-03-14,CA,50,50,183.0,637.0,28.73,100.0
11,2020-03-15,CA,41,41,205.0,659.0,31.11,100.0
12,2020-03-16,CA,42,7107,221.0,7512.0,2.94,0.59
13,2020-03-17,CA,148,148,350.0,7641.0,4.58,100.0
14,2020-03-18,CA,128,128,454.0,7519.0,6.04,100.0
15,2020-03-19,CA,313,1119,722.0,8593.0,8.4,27.97
16,2020-03-20,CA,139,1776,861.0,10369.0,8.3,7.83
17,2020-03-21,CA,216,1041,1027.0,11360.0,9.04,20.75
18,2020-03-22,CA,257,312,1243.0,11631.0,10.69,82.37
19,2020-03-23,CA,197,1460,1398.0,5984.0,23.36,13.49
20,2020-03-24,CA,369,1254,1619.0,7090.0,22.83,29.43
21,2020-03-25,CA,253,2722,1744.0,9684.0,18.01,9.29
22,2020-03-26,CA,651,2110,2082.0,10675.0,19.5,30.85
23,2020-03-27,CA,873,873,2816.0,9772.0,28.82,100.0
24,2020-03-28,CA,764,3933,3364.0,12664.0,26.56,19.43
25,2020-03-29,CA,1065,1065,4172.0,13417.0,31.09,100.0
26,2020-03-30,CA,739,739,4714.0,12696.0,37.13,100.0
27,2020-03-31,CA,1035,2258,5380.0,13700.0,39.27,45.84
28,2020-04-01,CA,673,673,5800.0,11651.0,49.78,100.0
29,2020-04-02,CA,1036,3073,6185.0,12614.0,49.03,33.71
30,2020-04-03,CA,1510,2300,6822.0,14041.0,48.59,65.65
31,2020-04-04,CA,1325,78400,7383.0,88508.0,8.34,1.69
32,2020-04-05,CA,1412,2833,7730.0,90276.0,8.56,49.84
33,2020-04-06,CA,898,898,7889.0,90435.0,8.72,100.0
34,2020-04-07,CA,1529,13798,8383.0,101975.0,8.22,11.08
35,2020-04-08,CA,1092,13035,8802.0,114337.0,7.7,8.38
36,2020-04-09,CA,1352,19236,9118.0,130500.0,6.99,7.03
37,2020-04-10,CA,1163,1363,8771.0,129563.0,6.77,85.33
38,2020-04-11,CA,1143,8356,8589.0,59519.0,14.43,13.68
39,2020-04-12,CA,1179,17109,8356.0,73795.0,11.32,6.89
40,2020-04-13,CA,554,554,8012.0,73451.0,10.91,100.0
41,2020-04-14,CA,990,11326,7473.0,70979.0,10.53,8.74
42,2020-04-15,CA,1086,14278,7467.0,72222.0,10.34,7.61
43,2020-04-16,CA,1758,29914,7873.0,82900.0,9.5,5.88
44,2020-04-17,CA,1346,5214,8056.0,86751.0,9.29,25.82
45,2020-04-18,CA,1435,8052,8348.0,86447.0,9.66,17.82
46,2020-04-19,CA,1370,21234,8539.0,90572.0,9.43,6.45
47,2020-04-20,CA,645,9600,8630.0,99618.0,8.66,6.72
48,2020-04-21,CA,2283,9600,9923.0,97892.0,10.14,23.78
49,2020-04-22,CA,2135,165227,10972.0,248841.0,4.41,1.29
50,2020-04-23,CA,1973,16770,11187.0,235697.0,4.75,11.77
51,2020-04-24,CA,1885,12076,11726.0,242559.0,4.83,15.61
52,2020-04-25,CA,1883,11862,12174.0,246369.0,4.94,15.87
53,2020-04-26,CA,1027,20049,11831.0,245184.0,4.83,5.12
54,2020-04-27,CA,1300,27325,12486.0,262909.0,4.75,4.76
55,2020-04-28,CA,1567,24199,11770.0,277508.0,4.24,6.48
56,2020-04-29,CA,1469,25531,11104.0,137812.0,8.06,5.75
57,2020-04-30,CA,2417,22198,11548.0,143240.0,8.06,10.89
58,2020-05-01,CA,1525,29648,11188.0,160812.0,6.96,5.14
59,2020-05-02,CA,1755,30063,11060.0,179013.0,6.18,5.84
60,2020-05-03,CA,1419,30703,11452.0,189667.0,6.04,4.62
61,2020-05-04,CA,1321,32123,11473.0,194465.0,5.9,4.11
62,2020-05-05,CA,1275,32028,11181.0,202294.0,5.53,3.98
63,2020-05-06,CA,2603,29134,12315.0,205897.0,5.98,8.93
64,2020-05-07,CA,1799,33838,11697.0,217537.0,5.38,5.32
65,2020-05-08,CA,1898,32398,12070.0,220287.0,5.48,5.86
66,2020-05-09,CA,2049,37298,12364.0,227522.0,5.43,5.49
67,2020-05-10,CA,2119,43094,13064.0,239913.0,5.45,4.92
68,2020-05-11,CA,1259,36233,13002.0,244023.0,5.33,3.47
69,2020-05-12,CA,1443,41473,13170.0,253468.0,5.2,3.48
70,2020-05-13,CA,1759,32222,12326.0,256556.0,4.8,5.46
71,2020-05-14,CA,2023,39059,12550.0,261777.0,4.79,5.18
72,2020-05-15,CA,1772,29255,12424.0,258634.0,4.8,6.06
73,2020-05-16,CA,1857,45220,12232.0,266556.0,4.59,4.11
74,2020-05-17,CA,2046,56117,12159.0,279579.0,4.35,3.65
75,2020-05-18,CA,1591,57429,12491.0,300775.0,4.15,2.77
76,2020-05-19,CA,1365,46644,12413.0,305946.0,4.06,2.93
77,2020-05-20,CA,2262,40804,12916.0,314528.0,4.11,5.54
78,2020-05-21,CA,2140,41007,13033.0,316476.0,4.12,5.22
79,2020-05-22,CA,2247,45646,13508.0,332867.0,4.06,4.92
80,2020-05-23,CA,2187,48533,13838.0,336180.0,4.12,4.51
81,2020-05-24,CA,2079,67439,13871.0,347502.0,3.99,3.08
82,2020-05-25,CA,1848,61357,14128.0,351430.0,4.02,3.01
83,2020-05-26,CA,2175,52294,14938.0,357080.0,4.18,4.16
84,2020-05-27,CA,2247,40498,14923.0,356774.0,4.18,5.55
85,2020-05-28,CA,2717,53665,15500.0,369432.0,4.2,5.06
86,2020-05-29,CA,2189,44919,15442.0,368705.0,4.19,4.87
87,2020-05-30,CA,2992,53117,16247.0,373289.0,4.35,5.63
88,2020-05-31,CA,3705,56253,17873.0,362103.0,4.94,6.59
89,2020-06-01,CA,2423,67735,18448.0,368481.0,5.01,3.58
90,2020-06-02,CA,2304,59008,18577.0,375195.0,4.95,3.9
91,2020-06-03,CA,2377,59703,18707.0,394400.0,4.74,3.98
92,2020-06-04,CA,2120,51377,18110.0,392112.0,4.62,4.13
93,2020-06-05,CA,3094,55792,19015.0,402985.0,4.72,5.55
94,2020-06-06,CA,3115,69837,19138.0,419705.0,4.56,4.46
95,2020-06-07,CA,2796,53918,18229.0,417370.0,4.37,5.19
96,2020-06-08,CA,2507,68972,18313.0,418607.0,4.37,3.63
97,2020-06-09,CA,2170,55055,18179.0,414654.0,4.38,3.94
98,2020-06-10,CA,2702,54553,18504.0,409504.0,4.52,4.95
99,2020-06-11,CA,3090,56849,19474.0,414976.0,4.69,5.44
100,2020-06-12,CA,2702,64611,19082.0,423795.0,4.5,4.18
101,2020-06-13,CA,3660,62135,19627.0,416093.0,4.72,5.89
102,2020-06-14,CA,3212,77603,20043.0,439778.0,4.56,4.14
103,2020-06-15,CA,2597,66186,20133.0,436992.0,4.61,3.92
104,2020-06-16,CA,2108,69573,20071.0,451510.0,4.45,3.03
105,2020-06-17,CA,3455,60233,20824.0,457190.0,4.55,5.74
106,2020-06-18,CA,4084,76542,21818.0,476883.0,4.58,5.34
107,2020-06-19,CA,4317,81172,23433.0,493444.0,4.75,5.32
108,2020-06-20,CA,3893,78710,23666.0,510019.0,4.64,4.95
109,2020-06-21,CA,4515,84844,24969.0,517260.0,4.83,5.32
110,2020-06-22,CA,4230,92430,26602.0,543504.0,4.89,4.58
111,2020-06-23,CA,5019,85243,29513.0,559174.0,5.28,5.89
112,2020-06-24,CA,7149,95970,33207.0,594911.0,5.58,7.45
113,2020-06-25,CA,5349,101446,34472.0,619815.0,5.56,5.27
114,2020-06-26,CA,4890,76969,35045.0,615612.0,5.69,6.35
115,2020-06-27,CA,5972,90996,37124.0,627898.0,5.91,6.56
116,2020-06-28,CA,4810,93642,37419.0,636696.0,5.88,5.14
117,2020-06-29,CA,8009,105740,41198.0,650006.0,6.34,7.57
118,2020-06-30,CA,9480,105447,45659.0,670210.0,6.81,8.99
119,2020-07-01,CA,7407,87037,45917.0,661277.0,6.94,8.51
120,2020-07-02,CA,6408,84542,46976.0,644373.0,7.29,7.58
121,2020-07-03,CA,5688,109458,47774.0,676862.0,7.06,5.2
122,2020-07-04,CA,9153,104855,50955.0,690721.0,7.38,8.73
123,2020-07-05,CA,8597,127107,54742.0,724186.0,7.56,6.76
124,2020-07-06,CA,5699,113215,52432.0,731661.0,7.17,5.03
125,2020-07-07,CA,6090,103017,49042.0,729231.0,6.73,5.91
126,2020-07-08,CA,11694,99805,53329.0,741999.0,7.19,11.72
127,2020-07-09,CA,7031,82259,53952.0,739716.0,7.29,8.55
128,2020-07-10,CA,7798,97303,56062.0,727561.0,7.71,8.01
129,2020-07-11,CA,8047,99958,54956.0,722664.0,7.6,8.05
130,2020-07-12,CA,8460,130904,54819.0,726461.0,7.55,6.46
131,2020-07-13,CA,8358,137766,57478.0,751012.0,7.65,6.07
132,2020-07-14,CA,7346,130590,58734.0,778585.0,7.54,5.63
133,2020-07-15,CA,11126,118321,58166.0,797101.0,7.3,9.4
134,2020-07-16,CA,8544,122232,59679.0,837074.0,7.13,6.99
135,2020-07-17,CA,9986,128591,61867.0,868362.0,7.12,7.77
136,2020-07-18,CA,9199,123119,63019.0,891523.0,7.07,7.47
137,2020-07-19,CA,9329,119634,63888.0,880253.0,7.26,7.8
138,2020-07-20,CA,6846,127469,62376.0,869956.0,7.17,5.37
139,2020-07-21,CA,9231,122611,64261.0,861977.0,7.46,7.53
140,2020-07-22,CA,12807,127487,65942.0,871143.0,7.57,10.05
141,2020-07-23,CA,12040,113885,69438.0,862796.0,8.05,10.57
142,2020-07-24,CA,9718,137572,69170.0,871777.0,7.93,7.06
143,2020-07-25,CA,10066,131479,70037.0,880137.0,7.96,7.66
144,2020-07-26,CA,8259,120784,68967.0,881287.0,7.83,6.84
145,2020-07-27,CA,6891,128439,69012.0,882257.0,7.82,5.37
146,2020-07-28,CA,6000,121288,65781.0,880934.0,7.47,4.95
147,2020-07-29,CA,8755,99600,61729.0,853047.0,7.24,8.79
148,2020-07-30,CA,10197,116374,59886.0,855536.0,7.0,8.76
149,2020-07-31,CA,8086,177201,58254.0,895165.0,6.51,4.56
150,2020-08-01,CA,6542,75546,54730.0,839232.0,6.52,8.66
151,2020-08-02,CA,9032,149388,55503.0,867836.0,6.4,6.05
152,2020-08-03,CA,5739,148721,54351.0,888118.0,6.12,3.86
153,2020-08-04,CA,4526,121017,52877.0,887847.0,5.96,3.74
154,2020-08-05,CA,5295,103687,49417.0,891934.0,5.54,5.11
155,2020-08-06,CA,5258,91063,44478.0,866623.0,5.13,5.77
156,2020-08-07,CA,8436,96419,44828.0,785841.0,5.7,8.75
157,2020-08-08,CA,7371,110645,45657.0,820940.0,5.56,6.66
158,2020-08-09,CA,8373,118592,44998.0,790144.0,5.69,7.06
159,2020-08-10,CA,7751,172234,47010.0,813657.0,5.78,4.5
160,2020-08-11,CA,12500,187926,54984.0,880566.0,6.24,6.65
161,2020-08-12,CA,11645,117188,61334.0,894067.0,6.86,9.94
162,2020-08-13,CA,7085,142026,63161.0,945030.0,6.68,4.99
163,2020-08-14,CA,7934,111105,62659.0,959716.0,6.53,7.14
164,2020-08-15,CA,12614,124513,67902.0,973584.0,6.97,10.13
165,2020-08-16,CA,7873,117024,67402.0,972016.0,6.93,6.73
166,2020-08-17,CA,6469,135645,66120.0,935427.0,7.07,4.77
167,2020-08-18,CA,4636,115259,58256.0,862760.0,6.75,4.02
168,2020-08-19,CA,6164,91644,52775.0,837216.0,6.3,6.73
169,2020-08-20,CA,5920,87283,51610.0,782473.0,6.6,6.78
170,2020-08-21,CA,5585,101406,49261.0,772774.0,6.37,5.51
171,2020-08-22,CA,6556,106980,43203.0,755241.0,5.72,6.13
172,2020-08-23,CA,6777,104679,42107.0,742896.0,5.67,6.47
173,2020-08-24,CA,4946,111456,40584.0,718707.0,5.65,4.44
174,2020-08-25,CA,4480,110019,40428.0,713467.0,5.67,4.07
175,2020-08-26,CA,6004,70251,40268.0,692074.0,5.82,8.55
176,2020-08-27,CA,4430,85658,38778.0,690449.0,5.62,5.17
177,2020-08-28,CA,5329,92222,38522.0,681265.0,5.65,5.78
178,2020-08-29,CA,4981,98993,36947.0,673278.0,5.49,5.03
179,2020-08-30,CA,6070,122199,36240.0,690798.0,5.25,4.97
180,2020-08-31,CA,4176,141476,35470.0,720818.0,4.92,2.95
181,2020-09-01,CA,3712,97391,34702.0,708190.0,4.9,3.81
182,2020-09-02,CA,4255,109674,32953.0,747613.0,4.41,3.88
183,2020-09-03,CA,5125,83554,33648.0,745509.0,4.51,6.13
184,2020-09-04,CA,5106,133046,33425.0,786333.0,4.25,3.84
185,2020-09-05,CA,4956,119353,33400.0,806693.0,4.14,4.15
186,2020-09-06,CA,4905,130868,32235.0,815362.0,3.95,3.75
187,2020-09-07,CA,3091,111101,31150.0,784987.0,3.97,2.78
188,2020-09-08,CA,2676,109656,30114.0,797252.0,3.78,2.44
189,2020-09-09,CA,1616,75849,27475.0,763427.0,3.6,2.13
190,2020-09-10,CA,3338,46194,25688.0,726067.0,3.54,7.23
191,2020-09-11,CA,3326,61669,23908.0,654690.0,3.65,5.39
192,2020-09-12,CA,4107,105307,23059.0,640644.0,3.6,3.9
193,2020-09-13,CA,4625,133049,22779.0,642825.0,3.54,3.48
194,2020-09-14,CA,2855,116173,22543.0,647897.0,3.48,2.46
195,2020-09-15,CA,2235,121981,22102.0,660222.0,3.35,1.83
196,2020-09-16,CA,2950,72352,23436.0,656725.0,3.57,4.08
197,2020-09-17,CA,3238,79515,23336.0,690046.0,3.38,4.07
198,2020-09-18,CA,3630,97149,23640.0,725526.0,3.26,3.74
199,2020-09-19,CA,4304,166700,23837.0,786919.0,3.03,2.58
200,2020-09-20,CA,4265,179272,23477.0,833142.0,2.82,2.38
201,2020-09-21,CA,3294,149624,23916.0,866593.0,2.76,2.2
202,2020-09-22,CA,2630,131273,24311.0,875885.0,2.78,2.0
203,2020-09-23,CA,3146,75368,24507.0,878901.0,2.79,4.17
204,2020-09-24,CA,3170,73434,24439.0,872820.0,2.8,4.32
205,2020-09-25,CA,3400,99390,24209.0,875061.0,2.77,3.42
206,2020-09-26,CA,4197,130483,24102.0,838844.0,2.87,3.22
207,2020-09-27,CA,4071,150768,23908.0,810340.0,2.95,2.7
208,2020-09-28,CA,2955,151354,23569.0,812070.0,2.9,1.95
209,2020-09-29,CA,2162,128693,23101.0,809490.0,2.85,1.68
210,2020-09-30,CA,3200,91657,23155.0,825779.0,2.8,3.49
211,2020-10-01,CA,3062,66649,23047.0,818994.0,2.81,4.59
212,2020-10-02,CA,3590,96580,23237.0,816184.0,2.85,3.72
213,2020-10-03,CA,2159,130457,21199.0,816158.0,2.6,1.65
214,2020-10-04,CA,4293,161399,21421.0,826789.0,2.59,2.66
215,2020-10-05,CA,3055,141394,21521.0,816829.0,2.63,2.16
216,2020-10-06,CA,1677,128740,21036.0,816876.0,2.58,1.3
217,2020-10-07,CA,2764,126285,20600.0,851504.0,2.42,2.19
218,2020-10-08,CA,3575,66917,21113.0,851772.0,2.48,5.34
219,2020-10-09,CA,3806,112874,21329.0,868066.0,2.46,3.37
220,2020-10-10,CA,4170,141948,23340.0,879557.0,2.65,2.94
221,2020-10-11,CA,3803,168559,22850.0,886717.0,2.58,2.26
222,2020-10-12,CA,3449,144337,23244.0,889660.0,2.61,2.39
223,2020-10-13,CA,2378,142376,23945.0,903296.0,2.65,1.67
224,2020-10-14,CA,2666,91770,23847.0,868781.0,2.74,2.91
225,2020-10-15,CA,3329,92325,23601.0,894189.0,2.64,3.61
226,2020-10-16,CA,3075,104144,22870.0,885459.0,2.58,2.95
227,2020-10-17,CA,2979,134755,21679.0,878266.0,2.47,2.21
228,2020-10-18,CA,2862,135351,20738.0,845058.0,2.45,2.11
229,2020-10-19,CA,3474,150346,20763.0,851067.0,2.44,2.31
230,2020-10-20,CA,3286,146662,21671.0,855353.0,2.53,2.24
231,2020-10-21,CA,3707,104069,22712.0,867652.0,2.62,3.56
232,2020-10-22,CA,2940,65631,22323.0,840958.0,2.65,4.48
233,2020-10-23,CA,6141,124523,25389.0,861337.0,2.95,4.93
234,2020-10-24,CA,5945,125886,28355.0,852468.0,3.33,4.72
235,2020-10-25,CA,5219,178706,30712.0,895823.0,3.43,2.92
236,2020-10-26,CA,2981,194944,30219.0,940421.0,3.21,1.53
237,2020-10-27,CA,3188,144220,30121.0,937979.0,3.21,2.21
238,2020-10-28,CA,4515,96547,30929.0,930457.0,3.32,4.68
0,2020-03-07,LA,0,0,,,,
1,2020-03-08,LA,0,5,,,,0.0
2,2020-03-09,LA,1,1,,,,100.0
3,2020-03-10,LA,0,6,,,,0.0
4,2020-03-11,LA,5,31,,,,16.13
5,2020-03-12,LA,8,8,,,,100.0
6,2020-03-13,LA,22,22,36.0,73.0,49.32,100.0
7,2020-03-14,LA,15,87,51.0,160.0,31.87,17.24
8,2020-03-15,LA,39,86,90.0,241.0,37.34,45.35
9,2020-03-16,LA,25,57,114.0,297.0,38.38,43.86
10,2020-03-17,LA,22,120,136.0,411.0,33.09,18.33
11,2020-03-18,LA,103,152,234.0,532.0,43.98,67.76
12,2020-03-19,LA,107,230,333.0,754.0,44.16,46.52
13,2020-03-20,LA,126,236,437.0,968.0,45.14,53.39
14,2020-03-21,LA,107,1719,529.0,2600.0,20.35,6.22
15,2020-03-22,LA,257,738,747.0,3252.0,22.97,34.82
16,2020-03-23,LA,335,2450,1057.0,5645.0,18.72,13.67
17,2020-03-24,LA,216,2655,1251.0,8180.0,15.29,8.14
18,2020-03-25,LA,407,2848,1555.0,10876.0,14.3,14.29
19,2020-03-26,LA,510,6578,1958.0,17224.0,11.37,7.75
20,2020-03-27,LA,441,3330,2273.0,20318.0,11.19,13.24
21,2020-03-28,LA,569,3802,2735.0,22401.0,12.21,14.97
22,2020-03-29,LA,225,2710,2703.0,24373.0,11.09,8.3
23,2020-03-30,LA,485,6162,2853.0,28085.0,10.16,7.87
24,2020-03-31,LA,1212,4934,3849.0,30364.0,12.68,24.56
25,2020-04-01,LA,1187,6809,4629.0,34325.0,13.49,17.43
26,2020-04-02,LA,2726,5310,6845.0,33057.0,20.71,51.34
27,2020-04-03,LA,1147,2559,7551.0,32286.0,23.39,44.82
28,2020-04-04,LA,2199,4853,9181.0,33337.0,27.54,45.31
29,2020-04-05,LA,514,1827,9470.0,32454.0,29.18,28.13
30,2020-04-06,LA,1857,8841,10842.0,35133.0,30.86,21.0
31,2020-04-07,LA,1417,5489,11047.0,35688.0,30.95,25.82
32,2020-04-08,LA,746,6751,10606.0,35630.0,29.77,11.05
33,2020-04-09,LA,1253,5513,9133.0,35833.0,25.49,22.73
34,2020-04-10,LA,970,5361,8956.0,38635.0,23.18,18.09
35,2020-04-11,LA,761,4635,7518.0,38417.0,19.57,16.42
36,2020-04-12,LA,581,7130,7585.0,43720.0,17.35,8.15
37,2020-04-13,LA,421,4046,6149.0,38925.0,15.8,10.41
38,2020-04-14,LA,502,10331,5234.0,43767.0,11.96,4.86
39,2020-04-15,LA,433,3506,4921.0,40522.0,12.14,12.35
40,2020-04-16,LA,581,4658,4249.0,39667.0,10.71,12.47
41,2020-04-17,LA,586,5401,3865.0,39707.0,9.73,10.85
42,2020-04-18,LA,462,6012,3566.0,41084.0,8.68,7.68
43,2020-04-19,LA,348,-2651,3333.0,31303.0,10.65,-13.13
44,2020-04-20,LA,595,763,3507.0,28020.0,12.52,77.98
45,2020-04-21,LA,331,331,3336.0,18020.0,18.51,100.0
46,2020-04-22,LA,404,404,3307.0,14918.0,22.17,100.0
47,2020-04-23,LA,481,667,3207.0,10927.0,29.35,72.11
48,2020-04-24,LA,401,599,3022.0,6125.0,49.34,66.94
49,2020-04-25,LA,372,890,2932.0,1003.0,292.32,41.8
